61,52,43,432
35,65,62,540
38,55,61,432
25,70,51,360
20,40,23,108
44,24,28,108
22,57,48,216
29,43,52,216
57,52,55,576
38,64,55,432
62,26,27,144
41,67,42,405
42,30,59,216
40,28,26,108
68,30,62,360
41,60,64,432
42,47,20,162
22,25,36,108
25,69,48,270
58,62,51,576
32,51,27,144
61,36,53,432
37,67,62,540
69,44,29,270
48,33,36,243
37,62,41,324
65,45,27,270
24,69,63,360
46,22,62,216
42,60,55,432
55,37,40,324
45,22,47,162
35,46,39,243
52,40,33,324
30,65,21,180
42,66,52,540
44,38,30,162
60,22,26,144
32,29,56,144
56,44,39,324
37,39,29,162
37,32,33,162
33,20,43,162
27,39,68,270
48,51,55,432
22,47,32,108
36,31,58,216
35,44,65,405
44,67,57,540
59,43,44,324
45,47,36,1375
54,16,16,411
60,58,55,3015
59,9,56,1449
10,15,9,80
15,14,7,76
22,21,23,387
43,26,36,1018
55,47,56,2473
20,22,38,585
